-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 4:45:44 PM     9/16/2020 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 558
  Max.    Elevation: 1344
  Mean.   Elevation: 778.58796608352
  Std.    Deviation: 89.3835230543493

                    Elevation          % Area Below Elevation         % Area Watershed

                    1058                     99.4                      0
                    1059                     99.41                     .01
                    1060                     99.42                     .01
                    1061                     99.43                     .01
                    1062                     99.44                     .01
                    1063                     99.44                     .01
                    1064                     99.45                     .01
                    1065                     99.46                     .01
                    1066                     99.47                     .01
                    1067                     99.48                     .01
                    1068                     99.48                     .01
                    1069                     99.49                     .01
                    1070                     99.5                      .01
                    1071                     99.5                      0
                    1072                     99.51                     .01
                    1073                     99.52                     .01
                    1074                     99.52                     .01
                    1075                     99.53                     .01
                    1076                     99.54                     .01
                    1077                     99.54                     .01
                    1078                     99.55                     .01
                    1079                     99.56                     .01
                    1080                     99.56                     .01
                    1081                     99.57                     .01
                    1082                     99.58                     .01
                    1083                     99.59                     .01
                    1084                     99.59                     0
                    1085                     99.6                      0
                    1086                     99.6                      .01
                    1087                     99.61                     .01
                    1088                     99.62                     .01
                    1089                     99.63                     .01
                    1090                     99.63                     0
                    1091                     99.64                     .01
                    1092                     99.65                     .01
                    1093                     99.65                     0
                    1094                     99.66                     .01
                    1095                     99.67                     0
                    1096                     99.67                     .01
                    1097                     99.68                     0
                    1098                     99.68                     .01
                    1099                     99.69                     .01
                    1100                     99.7                      .01
                    1101                     99.71                     .01
                    1102                     99.71                     0
                    1103                     99.71                     0
                    1104                     99.72                     0
                    1105                     99.72                     .01
                    1106                     99.73                     .01
                    1107                     99.74                     .01
                    1108                     99.74                     .01
                    1109                     99.75                     .01
                    1110                     99.76                     .01
                    1111                     99.76                     0
                    1112                     99.77                     .01
                    1113                     99.77                     0
                    1114                     99.77                     0
                    1115                     99.78                     .01
                    1116                     99.78                     0
                    1117                     99.79                     0
                    1118                     99.79                     0
                    1119                     99.79                     0
                    1120                     99.8                      .01
                    1121                     99.8                      0
                    1122                     99.8                      0
                    1123                     99.8                      0
                    1124                     99.81                     0
                    1125                     99.81                     0
                    1126                     99.81                     0
                    1127                     99.82                     0
                    1128                     99.82                     0
                    1129                     99.82                     0
                    1130                     99.82                     0
                    1131                     99.82                     0
                    1132                     99.83                     0
                    1133                     99.83                     0
                    1134                     99.83                     0
                    1135                     99.83                     0
                    1136                     99.83                     0
                    1137                     99.83                     0
                    1138                     99.83                     0
                    1139                     99.83                     0
                    1140                     99.84                     0
                    1141                     99.84                     0
                    1142                     99.84                     0
                    1143                     99.84                     0
                    1144                     99.84                     0
                    1145                     99.84                     0
                    1146                     99.85                     0
                    1147                     99.85                     0
                    1148                     99.85                     0
                    1149                     99.85                     0
                    1150                     99.85                     0
                    1151                     99.85                     0
                    1152                     99.86                     0
                    1153                     99.86                     0
                    1155                     99.86                     0
                    1156                     99.86                     0
                    1157                     99.86                     0
                    1158                     99.86                     0
                    1159                     99.86                     0
                    1160                     99.86                     0
                    1161                     99.86                     0
                    1162                     99.86                     0
                    1163                     99.87                     0
                    1164                     99.87                     0
                    1165                     99.87                     0
                    1166                     99.87                     0
